"ID";"cond";"count"
1;"A";1
1;"A";2
1;"A";3
1;"A";4
1;"A";5
1;"A";6
1;"A";7
1;"A";8
1;"A";9
1;"A";10
1;"A";11
1;"A";12
1;"A";13
1;"A";14
1;"A";15
1;"A";16
1;"A";17
1;"A";18
1;"A";19
1;"A";20
1;"A";21
1;"A";22
1;"A";23
1;"A";24
1;"A";25
1;"A";26
1;"A";27
1;"A";28
1;"A";29
1;"A";30
1;"A";31
1;"A";32
1;"A";33
1;"A";34
1;"A";35
1;"A";36
1;"A";37
1;"A";38
1;"A";39
1;"A";40
1;"A";41
1;"A";42
1;"A";43
1;"A";44
1;"A";45
1;"A";46
1;"A";47
1;"A";48
1;"A";49
1;"A";50
1;"A";51
1;"A";52
1;"A";53
1;"A";54
1;"A";55
1;"A";56
1;"A";57
1;"A";58
1;"A";59
1;"A";60
1;"A";61
1;"A";62
1;"A";63
1;"A";64
1;"A";65
1;"A";66
1;"A";67
1;"A";68
1;"A";69
1;"A";70
1;"A";71
1;"A";72
1;"A";73
1;"A";74
1;"A";75
1;"A";76
1;"A";77
1;"A";78
1;"A";79
1;"A";80
1;"A";81
1;"A";82
1;"A";83
1;"A";84
1;"A";85
1;"A";86
1;"A";87
1;"A";88
1;"A";89
1;"A";90
1;"A";91
1;"A";92
1;"A";93
1;"A";94
1;"A";95
1;"A";96
1;"A";97
1;"A";98
1;"A";99
1;"A";100
